,spatial_cluster,x_median,y_median
558,558,15028.05078125,25815.7265625
559,559,5859.48095703125,18132.306640625
560,560,18395.884765625,16492.05859375
561,561,30761.484375,26216.7890625
562,562,6238.3212890625,16747.48828125
563,563,12718.05859375,13943.16796875
564,564,10578.2275390625,13196.53125
565,565,6936.21923828125,13602.3427734375
566,566,12715.8046875,24428.328125
567,567,7001.3984375,13904.630859375
568,568,30422.14453125,25444.140625
569,569,5026.1142578125,11559.212890625
570,570,26215.755859375,14354.458984375
571,571,24833.84375,11943.458984375
572,572,11349.4736328125,16272.005859375
573,573,31262.16796875,15804.6787109375
574,574,10717.845703125,26632.04296875
575,575,30014.44140625,17646.546875
576,576,23356.19140625,11562.802734375
577,577,9755.779296875,20960.974609375
578,578,18506.9296875,27192.392578125
579,579,19150.453125,26337.26171875
580,580,21812.328125,16059.46875
581,581,10914.3193359375,16536.75390625
582,582,29242.21875,28402.724609375
583,583,16298.998046875,23514.28125
584,584,24705.447265625,19370.009765625
585,585,22131.4609375,18680.482421875
586,586,15172.728515625,20253.537109375
587,587,15210.36328125,28623.56640625
588,588,11022.2685546875,13134.275390625
589,589,3342.721923828125,28611.2734375
590,590,31756.068359375,14408.189453125
591,591,16113.9619140625,20652.53515625
592,592,16896.15234375,22890.09375
593,593,28286.24609375,20612.484375
594,594,13963.998046875,19711.6328125
595,595,10599.033203125,23647.607421875
596,596,12077.375,27349.572265625
597,597,21103.716796875,24068.595703125
598,598,10450.880859375,22637.533203125
599,599,16197.859375,17054.568359375
600,600,16878.5703125,20021.607421875
601,601,15982.1064453125,25814.69921875
602,602,29625.55859375,22172.46484375
603,603,5641.41015625,22105.92578125
604,604,28435.302734375,12192.1533203125
605,605,9131.966796875,19449.80859375
606,606,20025.8046875,12377.712890625
607,607,9022.3046875,15723.7744140625
608,608,6490.8720703125,14944.263671875
609,609,11909.537109375,20980.859375
610,610,7867.20361328125,28035.65234375
611,611,24511.2734375,18008.22265625
612,612,15519.1669921875,27673.33203125
613,613,20296.326171875,25265.818359375
614,614,28059.744140625,18405.169921875
615,615,23668.28515625,17698.619140625
616,616,19225.33203125,14497.3515625
617,617,14177.8984375,16012.64453125
618,618,17077.35546875,6223.72314453125
619,619,20891.328125,6972.1640625
620,620,18542.78125,799.08837890625
621,621,17220.32421875,1839.9609375
622,622,22816.896484375,9579.837890625
623,623,17628.927734375,2666.77001953125
624,624,18848.6484375,7806.05712890625
625,625,18319.15625,6547.5595703125
626,626,15831.4365234375,3290.830810546875
627,627,16419.21484375,4332.3037109375
628,628,19822.248046875,1638.5670166015625
629,629,13187.83984375,1654.4332275390625
630,630,25107.5078125,9818.0166015625
631,631,20516.4453125,6160.080078125
632,632,16799.76953125,2696.9658203125
633,633,19011.654296875,3930.878662109375
634,634,17776.7734375,3090.610107421875
635,635,21280.50390625,2717.103515625
636,636,21479.103515625,5482.7939453125
637,637,19985.8984375,7929.951171875
638,638,17853.72265625,7376.525390625
639,639,24189.98828125,9219.4267578125
640,640,22336.2421875,9671.9482421875
641,641,14187.7880859375,4458.69873046875
642,642,21749.970703125,4638.4931640625
643,643,20523.279296875,9307.7236328125
644,644,15723.9228515625,3946.833984375
645,645,15772.1416015625,4161.900390625
646,646,12868.623046875,1243.333740234375
647,647,21613.26953125,10213.6923828125
648,648,17861.50390625,1980.587646484375
649,649,18775.24609375,3703.54541015625
650,650,18709.169921875,2561.373779296875
651,651,21001.296875,4960.1640625
